Element,Area,z_avg,Downstream,P,ET,Qsurf,Li,Qgw,Qin,Surplus,Qout_elem,Qout_catchment,Overflow,DeltaS,Qsurf_local
   1,    50.000,   119.500,   0,     0.000,     1.510,     0.000,     0.000,     0.000,     8.014,     0.000,     8.014,     8.014,     0.000,    -1.510,     0.000
   2,    50.000,   120.000,   1,     0.000,     0.944,     0.000,     0.000,     0.000,     8.014,     0.000,     8.014,     0.000,     0.000,    -0.944,     0.000
   3,    50.000,   121.000,   4,    17.000,     1.068,    12.050,    17.015,     0.000,     0.000,    29.065,    12.050,     0.000,    12.050,   -13.118,    12.050
   4,    50.000,   120.400,   0,    12.000,     0.520,     7.444,    12.018,     0.000,    46.978,    19.462,    54.422,    54.422,     7.444,    -7.964,     7.444
   5,    50.000,   120.333,   2,     9.000,     0.531,     4.823,     9.020,     0.000,     3.190,    13.843,     8.014,     0.000,     4.823,    -5.355,     4.823
   6,    50.000,   121.333,   5,     7.000,     0.525,     3.190,     7.022,     0.000,     0.000,    10.212,     3.190,     0.000,     3.190,    -3.715,     3.190
   7,    50.000,   120.900,   4,    40.000,     0.516,    34.388,    40.025,     0.000,     0.539,    74.413,    34.928,     0.000,    34.388,   -34.904,    34.388
   8,    50.000,   120.400,   0,     0.000,     0.870,     0.000,     0.024,     0.000,     0.000,     0.024,     0.000,     0.000,     0.000,    -0.870,     0.000
   9,    50.000,   121.000,   0,     0.000,     1.057,     0.000,     0.030,     0.000,     0.000,     0.030,     0.000,     0.000,     0.000,    -1.057,     0.000
  10,    50.000,   121.167,   7,     3.000,     0.912,     0.539,     3.031,     0.000,     0.000,     3.570,     0.539,     0.000,     0.539,    -1.451,     0.539
